ID,Pol1,Pol2,Pol3,Pol4,Pol5,Pol6,Pol7,Pol8,Pol9,Pol10,Pol11,Pol12,Pol13,Pol14,Pol15,Pol16,Pol17,Pol18,Pol19,Pol20,Pol21,Pol22,Pol23,Pol24,Pol25,Pol26,Pol27,Pol28,Pol29,Pol30,Pol31,Pol32,Pol33,Pol34,Pol35,Pol36,Pol37,Pol38,Pol39,Pol40,Pol41,Pol42,Pol43,Pol44,Pol45,Pol46,Pol47,Pol48,Pol49,Pol50,Pol51,Pol52,Pol53,Pol54,Pol55,Pol56,Pol57,Pol58,Pol59,Pol60,Pol61,Pol62,Pol63,Pol64,Pol65,Pol66,Pol67,Pol68,Pol69,Pol70,Pol71,Pol72,Pol73,Pol74,Pol75,Pol76,Pol77,Pol78,Pol79,Pol80,Pol81,Pol82,Pol83,Pol84,Pol85,Pol86,Pol87,Pol88,Pol89,Pol90,Pol91,Pol92,Pol93,Pol94,Pol95,Pol96,Pol97,Pol98,Pol99,Pol100
d87IErdDfM0,0.033333333,0,0.8,0,0.8,1,0.05,0.6,-0.3125,0.427142857,0.8,0.278571429,0.3,0,0.3,-0.5,-0.031818182,0.8,0,0.075,0,0.5,0.5,0,0,0,0,0,0.043181818,0.3,0.082142857,0.289393939,0.5,0,0,0,0,0.014123377,0.174242424,0,-0.024793388,0.2,-0.25,0.026785714,0.25,-0.1,0,-0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-XN2A85Y1o,0.125,0.5,0.7,0.17,0.1,1,0.3,0.0625,0,1,0.625,0.085416667,0.066666667,-0.2,0.5,0.125,1,0.5,0,0.2,0.338666667,0,0.5,0.285714286,-0.1,0.242857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDnnA-2ASB0,0.095454545,0,0,0,0.7,-0.013888889,0.8,-0.05,0.7,-0.291666667,0,0.85,0.3,0.1,0,0.35,0,-0.3125,0,-0.166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JERpaTX60jg,0,0.113636364,0.8,0.421428571,0,0,0,0,0.25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bxxEqwqjATU,0.2,-0.111111111,0.2,0.292,-0.3125,0.197777778,0.189484127,0.208333333,0.3,0.4,0.112,0.1,0.7,0.156666667,0.8,0.046111111,0.075,0.8,0.013888889,0.15,0,0,0,0,-0.2,0.386904762,0.25,0.161904762,0.7,0.7,0,0,0.2,0.2,0,0,0.089087302,0,0.8,0,-0.35,0.16,0,0.25,-0.2,0.25,0,0,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brgj25cpaEg,0.225,0.452,0.039583333,0.2421875,0.233333333,0.7,0,0.35,0.303333333,0.102813853,0.215535714,0.0375,0.354166667,0.357142857,0.266666667,0.502777778,0.023333333,0.183928571,0.295,0.329365079,0,0,0.7,0.5,-0.071428571,-0.10625,0,0.08,0.75,0,0.1,0.126190476,-0.1875,0.05,0.109821429,0.35,0.425,-0.4,0.295833333,0.166666667,0.65,0.1,0.4,0.416666667,0,-0.5,0.4,-0.2,0.246666667,0.0775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TpWWxOqDZX4,0.107142857,0.308333333,0.4,0.187184343,0.7,0,0.1,0,0.8,0.25,0,-0.13625,0,0.8,0,0,0,0,0,0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m3sNMj_INtQ,0.283333333,0.8,0,0.131666667,0.483333333,0.3625,0.083333333,0.5,0,0,-0.331818182,-0.229166667,0,0,0.168181818,0,0.8,-1,0.1,0,0,0.247272727,0,0.5,0.136363636,0.189142857,0,0,0.16,0.071085859,0.124553571,0.1,0,0,0,0.155793651,-0.09375,0.15625,0.212121212,-0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmw6GjAOuAc,0.172294372,0.3,0.23,0.8,0.250757576,0,0,0.028194444,0.5,0,0.5,0,0,0.166666667,0.35,0.55,0.5,-0.083333333,-0.142857143,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y4L2lI5TAAY,0.325,0,0.5,-1,0.7,0.5,0.5,0,0.8,0.4,0.3,0.166666667,0.027083333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WUT8qCRuSdY,0.492857143,-0.104166667,0.6,0.108636364,0.2,0.6,1,0.2975,0,0.5,0.25,0,0.7,0,0.3,0,-0.15625,0.136363636,-0.3375,0,-0.138888889,-0.1,-0.189583333,0,0,0.285714286,0,0.166666667,0,0,0.136363636,0,0,0.32,-0.083333333,0.5,0,0.285714286,-0.3125,0,0.533333333,0,0.221428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JBa2q3AZThw,0.126488095,0,-0.025,0.2,0.210833333,0.4,0.6875,0.12,0.047483766,0,0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l7xvOOEeUiE,0,-0.125,0,0.2,0.175,0,0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fvD_2kxc4x0,0,-0.32,0.2,0.425,0.5,0.3,0,0.8,0,0.231818182,0,0.262121212,0,0.4,0.266666667,0.5,0.5,-0.095779221,0,0.25,0.8,0.2375,0,0.2,0,0.7,-0.2,-0.7,-1,0,0.6,0,0.16,0,0.283333333,0.209090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XTbYWrSdlG0,-0.149494949,0.265454545,0.308928571,-0.5,0.066666667,0.128398268,0.072272727,0.08,0.15,0.25,0.148452381,0.366666667,0.16,0,0,0.14534632,0.010952381,0,0.142857143,0,0.038961039,-0.0075,-0.25,0.25,0,0.2,0.211082251,0.18234127,0.267272727,0.05,0,0.016666667,0.107272727,0.192857143,0,0.230833333,0,0.2,0,0.4,0.124606061,0,0.28,-0.3125,0.225,0,-0.25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vB_2bj3Shio,0.28,0.1,0.85,0.416666667,0.4,0.5,0.7,0.3,0.75,0.316666667,0.65,0.4875,0.095238095,0,0.5,0.333333333,0,0.5,0.6,0,0,0.5,0,0.35,0.083333333,0.6,0,0.2,0,0.8,0.066666667,0.5,0.8,0,0.2,0.375,0.8,0.091076348,0.8,0,0.1,0.11452381,0,0,-0.333333333,0,0.25,0.8,0.45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6SgzbnCmjLY,0.1,0.102813853,0.333333333,0.583333333,0.25,0.5,0.25,0,0.125,0.8,0.8,0.5,0,1,0.25,0.329166667,0.7,0.5875,0,0,0.4,0.116666667,0,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WjI_jZqcKeI,-0.17,0.101666667,0.75,0.8,0.425,0,0.125,0.219047619,0,-0.126666667,0.2,0.150833333,-0.092424242,0.7,-0.273809524,0.004655449,-0.166666667,0.1,0,0,-0.071428571,0.16,0.076041667,-0.266666667,0,-0.5,0.333333333,0,0.2,0.05,0.077272727,0,-0.1,0,0.2,0.05,-1,0.254166667,-0.2,0,0.373333333,0.2875,0,0,-0.166666667,0,0.7,0.416666667,-0.6,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4qxQLJZ20NA,0.03125,-0.054166667,0.584090909,-0.1,0.311111111,0.135281385,0,0,0,0.372222222,0.075,0,0,0,-1,0.5,-0.026666667,0,0.285714286,0,0.2,0.16,-0.171428571,0.216666667,-0.05,0.166666667,0.05,0,0,-0.1,-0.6,-0.008333333,-0.8,0.2,0,0,-0.071428571,0,0,0.1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uw-9NizA1iA,0.292424242,-0.6,-0.12,0.7,0.333333333,1,0,0.8,0.6,0,-0.2,0,0.1,0.468181818,0.525,0.8,0,0.16,0,0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
